zona_id,fecha,region,tipo_zona,poblacion_zona,cobertura_4g_pct,cobertura_5g_pct,latencia_ms,velocidad_media_mbps,tasa_cortes_pct,indice_calidad_global,incidencia_masiva,calidad_mes_anterior,calidad_media_3_meses
Z03,2024-01-10,Sur,rural,16530,,14.6,541.1,37.27,3.05,22.86,0,22.55,22.926666666666666
Z03,2024-01-11,Sur,rural,16530,82.18,15.12,53.73,38.16,2.89,24.03,0,22.86,23.146666666666665
Z03,2024-01-12,Sur,rural,16530,82.35,15.84,,38.71,2.77,23.86,0,24.03,23.583333333333332
Z03,2025-01-01,Sur,rural,16530,82.23,16.2,51.31,39.64,2.69,20.74,0,23.86,22.876666666666665
Z03,2025-01-02,Sur,rural,16530,82.3,17.11,50.93,39.08,2.73,25.49,0,20.74,23.363333333333333
Z03,2025-01-03,Sur,rural,16530,82.64,17.96,51.11,39.67,2.76,26.55,0,25.49,24.26
Z03,2025-01-04,Sur,rural,16530,,18.5,50.84,39.93,2.77,28.13,0,26.55,26.723333333333333
Z03,2025-01-05,Sur,rural,16530,82.39,19.09,50.96,40.35,2.79,22.48,0,28.13,25.72
Z03,2025-01-06,Sur,rural,16530,82.12,19.6,49.87,40.15,2.67,25.62,0,22.48,25.41
Z03,2025-01-07,Sur,rural,16530,82.29,20.26,49.71,40.69,2.75,24.89,0,25.62,24.330000000000002
Z03,2025-01-08,Sur,rural,16530,82.04,21.09,49.99,41.58,2.73,27.54,0,24.89,26.016666666666666
Z03,2025-01-09,Sur,rural,16530,81.84,,50.25,40.77,2.62,27.5,0,27.54,26.64333333333333
Z03,2025-01-10,Sur,rural,16530,81.82,22.1,50.54,41.91,2.5,24.44,0,27.5,26.49333333333333
Z03,2025-01-11,Sur,rural,16530,81.71,23.14,50.98,42.37,2.52,25.27,0,24.44,25.736666666666668
Z03,2025-01-12,Sur,rural,16530,81.88,23.71,51.49,41.9,2.67,27.44,0,25.27,25.71666666666667
Z04,2023-01-01,Centro,suburbana,55457,90.76,10.32,36.9,50.36,1.88,35.13,0,,
Z04,2023-01-02,Centro,suburbana,55457,90.62,10.46,37.48,51.74,1.79,30.91,0,35.13,
Z04,2023-01-03,Centro,suburbanx,55457,90.81,11.41,38.87,51.99,1.84,33.78,0,30.91,33.27333333333333
Z04,2023-01-04,Centro,suburbana,55457,90.64,12.28,39.66,53.4,1.88,33.54,0,33.78,32.74333333333333
Z04,2023-01-05,Centro,suburbana,55457,90.13,12.94,39.71,52.88,2.0,35.33,0,33.54,34.21666666666667
Z04,2023-01-06,Centro,suburbana,55457,90.34,13.77,40.64,53.51,1.99,31.55,0,35.33,33.473333333333336
Z04,2023-01-07,Centro,suburbana,55457,90.31,14.63,40.11,53.95,1.97,36.26,0,31.55,34.379999999999995
Z04,2023-01-08,Centro,suburbana,55457,90.38,15.55,40.44,54.4,1.95,32.35,0,36.26,33.38666666666666
Z04,2023-01-10,Centro,suburbana,55457,90.14,17.65,40.66,56.19,2.0,33.38,0,32.35,33.99666666666666
Z04,2023-01-11,Centro,suburbana,55457,89.9,18.74,40.77,57.26,2.08,34.69,0,33.38,33.473333333333336
Z04,2023-01-12,Centro,suburbana,55457,89.71,19.67,40.71,57.07,2.01,35.45,0,34.69,34.50666666666667
Z04,2023-09-01,Centro,suburbana,55457,90.24,16.35,39.98,55.16,2.0,31.56,0,35.45,33.9
Z04,2024-01-01,Centro,suburbana,55457,89.71,20.58,40.61,56.99,2.01,35.81,0,31.56,34.27333333333333
Z04,2024-01-02,Centro,suburbana,55457,89.59,21.58,40.95,56.59,1.82,32.85,0,35.81,33.406666666666666
Z04,2024-01-03,Centro,suburbana,55457,89.72,22.73,40.37,58.33,1.63,37.0,0,32.85,35.22
Z04,2024-01-04,Centro,suburbana,55457,90.08,23.59,39.71,58.34,1.61,36.63,0,37.0,35.49333333333333
Z04,2024-01-05,Centro,suburbana,55457,90.32,25.24,39.13,60.62,1.65,40.78,0,36.63,38.13666666666666
Z04,2024-01-06,Centro,suburbana,55457,90.2,26.31,38.9,63.46,1.72,37.61,0,40.78,38.339999999999996
Z04,2024-01-07,Centro,suburbana,55457,90.32,27.27,382.0,64.03,1.69,39.67,0,37.61,39.35333333333333
Z04,2024-01-08,Centro,suburbana,55457,90.22,28.44,37.97,62.59,1.69,38.03,0,39.67,38.43666666666667
Z04,2024-01-10,Centro,suburbana,55457,89.86,30.43,36.99,63.96,1.52,41.23,0,38.03,39.64333333333334
Z04,2024-01-11,Centro,suburbana,55457,89.91,31.11,35.64,64.81,1.45,40.49,0,41.23,39.916666666666664
Z04,2024-01-12,Centro,suburbana,55457,89.93,32.42,35.88,64.83,1.32,39.52,0,40.49,40.413333333333334
Z04,2024-09-01,Centro,suburbana,55457,89.9,29.49,37.51,62.8,1.68,37.65,0,39.52,39.220000000000006
Z04,2025-01-01,Centro,suburbana,55457,90.0,34.51,34.32,65.82,1.02,41.03,0,37.65,39.4
Z04,2025-01-02,Centro,suburbana,55457,89.9,35.91,33.35,68.36,1.01,41.98,0,41.03,40.22
Z04,2025-01-03,Centro,suburbana,55457,89.78,37.43,31.9,70.84,0.93,43.56,0,41.98,42.19
Z04,2025-01-04,Centro,suburbana,55457,90.13,38.56,32.44,-72.27,0.76,44.71,0,43.56,43.416666666666664
Z04,2025-01-05,Centro,suburbana,55457,,39.65,,73.97,0.7,46.46,0,44.71,44.910000000000004
Z04,2025-01-06,Centro,suburbana,55457,90.14,,31.79,75.86,0.57,45.51,0,46.46,45.56
Z04,2025-01-07,Centro,suburbana,55457,89.94,42.42,31.13,76.11,0.76,46.02,0,45.51,45.99666666666667
Z04,2025-01-08,Centro,suburbana,55457,90.03,43.47,30.97,76.45,0.81,48.53,0,46.02,46.68666666666667
Z04,2025-01-09,Centro,suburbana,55457,90.32,44.66,31.12,75.85,0.81,48.83,0,48.53,47.79333333333333
Z04,2025-01-10,Centro,suburbana,55457,90.38,45.8,31.4,76.67,0.93,48.34,0,48.83,48.56666666666666
Z04,2025-01-11,Centro,suburbana,55457,90.2,46.96,29.92,77.15,0.66,45.82,0,48.34,47.663333333333334
Z04,2025-01-12,Centro,suburbana,55457,90.22,48.14,29.74,76.66,0.88,48.06,0,45.82,47.40666666666667
Z05,2023-01-01,Este,urbana_premium,94471,95.39,17.97,32.56,77.37,0.91,40.98,0,,
Z05,2023-01-02,Este,urbana_premium,94471,95.14,18.47,32.31,76.6,0.94,42.94,0,40.98,
Z05,2023-01-03,Este,urbana_premium,94471,94.62,19.04,32.8,75.87,0.87,42.33,0,42.94,42.083333333333336
Z05,2023-01-04,Este,urbana_premium,94471,94.52,19.8,32.78,76.25,0.96,42.81,0,42.33,42.693333333333335
Z05,2023-01-05,Este,urbana_premium,94471,94.11,21.26,32.56,75.65,1.09,44.21,0,42.81,43.116666666666674
Z05,2023-01-06,Este,urbana_premium,94471,94.4,23.0,32.5,75.93,1.18,43.08,0,44.21,43.36666666666667
Z05,2023-01-08,Este,urbana_premium,94471,94.21,26.04,32.78,75.42,1.26,44.34,0,43.08,43.876666666666665
Z05,2023-01-09,Este,urbana_premium,94471,93.93,27.82,32.43,74.6,1.19,42.62,0,44.34,43.346666666666664
Z05,2023-01-10,Este,urbana_premium,94471,93.96,29.13,32.21,75.91,1.25,45.25,0,42.62,44.07
Z05,2023-01-11,Este,suburbanx,94471,94.04,30.74,31.19,76.28,1.1,45.65,0,45.25,44.50666666666666
Z05,2023-01-12,Este,urbana_premium,94471,94.03,32.45,31.87,77.18,1.11,46.94,0,45.65,45.94666666666666
Z05,2023-07-01,Este,urbana_premium,94471,94.3,24.58,32.48,75.41,1.17,44.31,0,46.94,45.633333333333326
Z05,2024-01-01,Este,urbana_premium,94471,93.93,33.87,32.15,77.49,1.21,47.64,0,44.31,46.29666666666666
Z05,2024-01-02,Este,urbana_premium,94471,93.78,35.58,32.1,78.47,1.15,45.93,0,47.64,45.96
Z05,2024-01-03,Este,urbana_premium,94471,93.75,37.16,31.19,79.7,1.06,47.66,0,45.93,47.07666666666666
Z05,2024-01-04,Este,urbana_premium,94471,93.84,39.2,30.21,81.64,1.08,49.66,0,47.66,47.75
Z05,2024-01-05,Este,urbana_premium,94471,93.91,40.63,29.92,83.31,1.04,51.49,0,49.66,49.60333333333333
Z05,2024-01-06,Este,urbana_premium,94471,93.82,41.98,29.15,84.06,1.12,50.21,0,51.49,50.453333333333326
Z05,2024-01-07,Este,urbana_premium,94471,93.84,43.16,28.82,83.39,0.99,51.13,0,50.21,50.94333333333333
Z05,2024-01-08,Este,urbana_premium,94471,94.13,45.41,28.27,85.53,0.96,51.87,0,51.13,51.07
Z05,2024-01-09,Este,urbana_premium,94471,94.17,46.8,28.03,85.97,0.8,50.42,0,51.87,51.13999999999999
Z05,2024-01-10,Este,urbana_premium,94471,94.23,48.17,27.39,86.92,0.83,53.7,0,50.42,51.99666666666667
Z05,2024-01-11,Este,urbana_premium,94471,94.05,49.98,27.78,88.25,0.84,55.85,0,53.7,53.32333333333333
Z05,2024-01-12,Este,urbana_premium,94471,94.24,51.57,27.48,89.49,0.69,55.95,0,55.85,55.166666666666664
Z05,2025-01-01,Este,urbana_premium,94471,93.92,52.83,27.46,90.88,0.76,54.76,0,55.95,55.52
Z05,2025-01-02,Este,urbana_premium,94471,93.74,54.32,26.8,91.52,0.77,55.12,0,54.76,55.276666666666664
Z05,2025-01-03,Este,urbana_premium,94471,93.88,55.67,26.41,92.13,0.64,56.05,0,55.12,55.31
Z05,2025-01-04,Este,urbana_premium,94471,93.88,,26.67,92.68,0.58,53.88,0,56.05,55.01666666666667
Z05,2025-01-05,Este,urbana_premium,94471,93.76,58.86,25.69,94.34,0.54,59.66,0,53.88,56.53
Z05,2025-01-06,Este,urbana_premium,94471,93.84,60.53,25.24,94.6,0.67,54.98,0,59.66,56.173333333333325
Z05,2025-01-07,Este,urbana_premium,94471,93.53,62.04,24.95,95.42,0.67,58.24,0,54.98,57.626666666666665
Z05,2025-01-08,Este,urbana_premium,94471,93.85,63.96,24.83,96.29,0.67,59.05,0,58.24,57.42333333333334
Z05,2025-01-09,Este,urbana_premium,94471,94.02,65.56,24.68,97.34,0.48,58.65,0,59.05,58.64666666666667
Z05,2025-01-10,Este,urbana_premium,94471,93.8,67.04,24.48,95.9,0.47,59.74,0,58.65,59.14666666666667
Z05,2025-01-11,Este,urbana_premium,94471,94.3,69.08,24.3,95.78,0.47,59.38,0,59.74,59.25666666666667
Z05,2025-01-12,Este,urbana_premium,94471,94.19,70.32,24.37,94.81,0.52,62.73,0,59.38,60.61666666666667
Z06,2023-01-01,Sur,rural,19752,82.37,4.29,52.53,33.56,2.86,20.63,0,,
Z06,2023-01-02,Sur,rural,19752,82.23,4.75,53.81,32.82,2.98,22.45,0,20.63,
Z06,2023-01-03,Sur,rural,19752,82.52,4.59,53.9,33.53,2.95,17.81,0,22.45,20.296666666666667
Z06,2023-01-04,Sur,rural-1,19752,82.27,5.05,54.42,32.36,2.97,18.54,0,17.81,19.599999999999998
Z06,2023-01-05,Sur,rural,19752,82.03,6.01,55.01,32.64,3.02,19.42,0,18.54,18.59
Z06,2023-01-06,Sur,rural,19752,81.9,5.67,54.73,30.77,2.94,17.56,0,19.42,18.506666666666664
Z06,2023-01-07,Sur,rural,19752,82.17,6.24,55.77,31.12,3.12,18.34,0,17.56,18.44
Z06,2023-01-08,Sur,suburbanx,19752,82.21,7.0,55.67,31.48,3.24,19.2,0,18.34,18.366666666666667
Z06,2023-01-09,Sur,rural,19752,81.94,7.26,55.91,31.6,3.23,19.91,0,19.2,19.150000000000002
Z06,2023-01-10,Sur,rural,19752,82.06,8.05,56.72,-32.45,3.2,22.79,0,19.91,20.63333333333333
Z06,2023-01-11,Sur,rural,19752,81.95,8.88,56.58,31.87,3.12,20.2,0,22.79,20.966666666666665
Z06,2023-01-12,Sur,rural,19752,81.68,9.63,57.09,31.29,3.22,19.29,0,20.2,20.759999999999998
Z06,2024-01-01,Sur,rural,19752,81.67,10.29,56.68,32.93,3.22,22.27,0,19.29,20.586666666666662
Z06,2024-01-02,Sur,rural,19752,81.78,10.93,56.12,32.9,3.24,19.9,0,22.27,20.486666666666665
Z06,2024-01-03,Sur,rural,19752,81.97,11.53,56.1,34.25,3.35,21.06,0,19.9,21.076666666666664
Z06,2024-01-04,Sur,rural,19752,,11.82,55.72,33.8,3.43,22.34,0,21.06,21.099999999999998
Z06,2024-01-05,Sur,rural,19752,81.99,12.64,54.35,32.64,3.4,22.18,0,22.34,21.86
Z06,2024-01-06,Sur,rural,19752,82.04,12.79,54.23,35.07,3.36,22.65,0,22.18,22.39
Z06,2024-01-07,Sur,rural,19752,81.95,13.3,53.07,35.69,3.32,20.31,0,22.65,21.713333333333328
Z06,2024-01-08,Sur,rural,19752,81.84,13.65,52.66,36.21,3.05,23.76,0,20.31,22.24
Z06,2024-01-09,Sur,rural-1,19752,82.03,,51.56,36.01,3.08,19.15,0,23.76,21.073333333333334
Z06,2024-01-10,Sur,rural,19752,81.96,14.7,52.15,36.32,3.03,24.24,0,19.15,22.383333333333336
Z06,2024-01-11,Sur,rural,19752,82.3,15.4,52.26,36.14,3.03,22.79,0,24.24,22.06
Z06,2024-01-12,Sur,rural,19752,82.11,16.12,51.37,37.48,3.0,24.65,0,22.79,23.893333333333334
Z06,2025-01-01,Sur,rural,19752,81.79,16.77,51.69,37.01,2.82,25.45,0,24.65,24.296666666666667
Z06,2025-01-02,Sur,rural,19752,81.9,17.54,52.36,38.58,2.81,28.65,0,25.45,26.25
Z06,2025-01-03,Sur,rural,19752,81.89,17.97,52.13,39.77,2.71,23.31,0,28.65,25.80333333333333
Z06,2025-01-04,Sur,rural,19752,82.34,18.71,51.41,41.05,2.67,25.34,0,23.31,25.766666666666666
Z06,2025-01-05,Sur,rural,19752,82.34,19.03,51.38,42.76,2.68,25.4,0,25.34,24.683333333333334
Z06,2025-01-06,Sur,rural,19752,82.15,19.64,51.1,42.27,2.73,23.39,0,25.4,24.709999999999997
Z06,2025-01-07,Sur,rural,19752,82.26,20.26,51.2,41.37,2.81,28.1,0,23.39,25.63
Z06,2025-01-08,Sur,rural,19752,82.35,20.6,51.51,41.88,2.65,26.44,0,28.1,25.97666666666667
Z06,2025-01-09,Sur,rural,19752,,21.51,51.48,42.11,2.79,28.61,0,26.44,27.71666666666667
Z06,2025-01-10,Sur,rural,19752,81.7,22.12,51.37,40.69,2.8,28.22,0,28.61,27.756666666666664
Z06,2025-01-11,Sur,rural,19752,81.6,22.89,51.03,40.44,2.93,25.71,0,28.22,27.513333333333332
Z06,2025-01-12,Sur,rural,19752,81.8,23.07,52.11,41.14,2.92,27.59,0,25.71,27.173333333333332
Z07,2023-01-01,Centro,rural,15473,80.91,4.99,54.66,-32.06,2.9,19.1,0,,
Z07,2023-01-02,Centro,rural,15473,81.16,5.41,54.14,32.91,3.05,17.51,0,19.1,
Z07,2023-01-03,Centro,rural,15473,81.81,5.59,54.99,32.5,3.06,19.02,0,17.51,18.543333333333333
Z07,2023-01-04,Centro,rural,15473,81.94,5.99,55.3,31.44,3.16,20.84,0,19.02,19.123333333333335
Z07,2023-01-05,Centro,rural,15473,82.08,6.29,55.38,30.63,3.13,17.18,0,20.84,19.013333333333332
Z07,2023-01-06,Centro,rural,15473,82.1,6.48,55.41,28.51,3.09,21.24,0,17.18,19.753333333333334
Z07,2023-01-07,Centro,rural,15473,81.95,6.9,55.04,30.31,3.15,20.18,0,21.24,19.533333333333335
Z07,2023-01-08,Centro,rural,15473,82.38,7.66,55.28,30.05,3.2,21.12,0,20.18,20.846666666666668
Z07,2023-01-09,Centro,rural,15473,82.25,7.91,56.26,30.26,3.43,20.34,0,21.12,20.546666666666667
Z07,2023-01-10,Centro,rural,15473,82.5,8.44,56.7,30.02,3.36,21.27,0,20.34,20.91
Z07,2023-01-11,Centro,rural,15473,82.52,8.92,55.96,29.45,3.26,18.18,0,21.27,19.929999999999996
Z07,2023-01-12,Centro,rural,15473,82.39,9.69,55.97,28.5,3.28,20.67,0,18.18,20.040000000000003
Z07,2024-01-01,Centro,rural,15473,82.65,9.79,,30.95,3.33,22.23,0,20.67,20.360000000000003
Z07,2024-01-02,Centro,rural,15473,82.47,10.48,56.01,30.94,3.39,19.38,0,22.23,20.76
Z07,2024-01-03,Centro,rural,15473,82.39,11.1,55.48,31.72,3.3,20.11,0,19.38,20.573333333333334
Z07,2024-01-04,Centro,rural,15473,82.21,11.4,55.42,31.61,3.33,19.89,0,20.11,19.793333333333333
Z07,2024-01-05,Centro,rural,15473,82.05,11.91,55.71,32.87,3.25,22.54,0,19.89,20.846666666666668
Z07,2024-01-06,Centro,rural,15473,81.65,12.59,56.09,33.83,3.2,22.55,0,22.54,21.66
