edad,antiguedad_meses,ingreso_estimado,num_lineas,descuento_activo,importe_total,dias_retraso_pago,impago_flag,importe_mes_anterior,consumo_mes_anterior,retraso_mes_anterior,impago_mes_anterior,media_importe_3m,media_retraso_3m,impagos_3m,cambio_consumo,subida_factura,variacion_consumo_pct,stress_calidad_lag,incidencia_masiva_lag,churn_real,churn_predicho,probabilidad_churn,tipo_error
41.0,39.0,4421.0,3,0,132.55,0,0,132.55,0.0,0.0,0.0,132.8299999999999,0.0,0.0,0.0,0.0,0.0,0.2151,0,0,0,0.27378732461799904,Verdadero negativo
33.0,31.0,2825.0,2,0,48.91,0,0,48.91,0.0,0.0,0.0,48.91,0.0,0.0,0.0,0.0,0.0,0.3426,0,0,0,0.4869357850584695,Verdadero negativo
35.0,5.0,2082.0,1,0,23.54,0,0,25.32,1.78,0.0,0.0,24.133333333333216,0.0,0.0,-1.78,-1.7800000000000011,-1.0,0.4354,0,0,1,0.5389692547684913,Falso positivo
41.0,39.0,3064.0,1,0,23.97,5,1,23.97,0.0,34.0,1.0,24.583333333333353,22.333333333333332,2.0,0.0,0.0,0.0,0.6701,0,0,1,0.5029298224318881,Falso positivo
33.0,11.0,2635.0,2,0,74.83,0,0,73.25,1.27,0.0,0.0,74.07000000000014,0.0,0.0,1.58,1.5799999999999983,1.254,0.4027,0,0,1,0.5472766808968804,Falso positivo
18.0,49.0,4737.0,2,0,130.72,12,1,130.72,0.0,0.0,0.0,130.82333333333324,0.0,0.0,0.0,0.0,0.0,0.4044,0,0,0,0.2735093587236613,Verdadero negativo
30.0,18.0,5619.0,2,0,149.95,0,0,139.67000000000002,0.36,0.0,0.0,139.42999999999995,5.666666666666667,1.0,10.280000000000001,10.279999999999973,10.278,0.2317,0,0,0,0.3194527998236595,Verdadero negativo
29.0,23.0,2067.0,3,0,216.71,0,0,215.98,0.0,10.0,1.0,215.98,3.3333333333333335,1.0,0.73,0.7300000000000182,0.728,0.3307,0,0,0,0.4714365956728134,Verdadero negativo
37.0,58.0,3828.0,1,0,83.99,0,0,83.99,0.0,0.0,0.0,83.99,0.0,0.0,0.0,0.0,0.0,0.3787,0,0,0,0.2849114282326211,Verdadero negativo
39.0,10.0,3732.0,2,0,50.97,0,0,49.8,3.36,800.0,1.0,47.56000000000003,266.6666666666667,1.0,1.1700000000000004,1.1700000000000017,0.349,0.5216,0,0,0,0.4772741513173735,Verdadero negativo
27.0,57.0,4887.0,3,0,130.29,12,1,130.76,0.47,0.0,0.0,136.31999999999996,0.0,0.0,-0.47,-0.46999999999999886,-0.467,0.3413,0,0,0,0.21982761752128838,Verdadero negativo
33.0,28.0,4546.0,3,0,137.36,22,1,135.87,-0.0,0.0,0.0,135.87,0.0,0.0,1.49,1.490000000000009,1.486,0.239,0,0,0,0.3859481092076654,Verdadero negativo
55.0,24.0,5663.0,2,0,162.38000000000002,0,0,165.03,5.01,0.0,0.0,165.2200000000002,0.0,0.0,-2.65,-2.6499999999999773,-0.529,0.3267,0,0,0,0.25039485830545843,Verdadero negativo
60.0,15.0,4379.0,1,0,70.91,0,0,64.27,0.0,0.0,0.0,65.07333333333331,0.0,0.0,6.64,6.640000000000001,6.644,0.3954,0,0,0,0.33464170348889405,Verdadero negativo
52.0,71.0,4124.0,3,0,54.67,0,0,57.85,6.1,0.0,0.0,53.7833333333335,0.0,0.0,-3.1799999999999997,-3.1799999999999997,-0.521,0.6204,0,0,0,0.3981693756746762,Verdadero negativo
33.0,49.0,3810.0,2,0,74.28,0,0,74.28,0.0,0.0,0.0,74.62000000000027,0.0,0.0,0.0,0.0,0.0,0.4354,0,0,0,0.39171136999167294,Verdadero negativo
60.0,43.0,3513.0,2,0,36.33,0,0,34.85,0.0,19.0,1.0,34.85,6.333333333333333,1.0,1.48,1.4799999999999969,1.476,0.3944,0,0,0,0.40024356036912934,Verdadero negativo
57.0,51.0,3816.0,1,1,47.540000000000006,0,0,52.2,0.52,0.0,0.0,52.250000000000206,0.0,0.0,1.13,-4.659999999999997,1.134,0.5216,0,0,0,0.41325970403436846,Verdadero negativo
32.0,77.0,4043.0,5,0,89.06,0,0,89.06,0.0,0.0,0.0,89.06,0.0,0.0,0.0,0.0,0.0,0.3427,0,0,0,0.2630722656235613,Verdadero negativo
44.0,31.0,3476.786701030928,2,0,46.56,0,0,46.56,0.0,26.0,1.0,46.82666666666656,24.0,2.0,0.0,0.0,-1.0,0.6764,0,0,0,0.47582704040111934,Verdadero negativo
18.0,65.0,4298.0,2,0,144.83,0,0,140.46,0.0,0.0,0.0,142.36999999999986,0.0,0.0,4.37,4.3700000000000045,4.374,0.2317,0,0,0,0.22570340796156332,Verdadero negativo
36.0,31.0,2349.0,1,1,48.83,0,0,52.629999999999995,1.76,0.0,0.0,54.51000000000022,0.0,0.0,-1.76,-3.799999999999997,-1.0,0.7244,0,0,1,0.5770616587358971,Falso positivo
23.0,8.0,7895.0,3,0,239.42,0,0,240.36,0.94,0.0,0.0,240.66000000000017,0.0,0.0,-0.94,-0.9400000000000261,-0.942,0.3413,0,0,0,0.27340445394408025,Verdadero negativo
23.0,74.0,6968.0,2,0,126.78,0,0,124.17,0.02,0.0,0.0,124.60333333333345,0.0,0.0,2.61,2.6099999999999994,2.611,0.2421,0,0,0,0.19904322223736576,Verdadero negativo
18.0,31.0,2278.0,2,0,51.95,0,0,47.36,0.53,0.0,0.0,48.52333333333336,0.0,0.0,4.59,4.590000000000003,4.592,0.4027,0,0,0,0.4847671887038328,Verdadero negativo
54.0,16.0,2449.0,2,1,30.980000000000004,0,0,36.040000000000006,0.0,0.0,0.0,36.03000000000023,0.0,0.0,0.0,-5.060000000000002,0.0,0.4834,0,0,1,0.5822494046315714,Falso positivo
22.0,31.0,3517.0,1,0,27.7,0,0,20.4,3.63,0.0,0.0,18.673333333333257,0.0,0.0,7.3,7.300000000000001,2.008,0.4807,0,0,0,0.38147177743996996,Verdadero negativo
18.0,9.0,5805.0,2,0,44.76,32,1,40.58,0.0,0.0,0.0,40.58,0.0,0.0,4.18,4.18,0.222,0.3426,0,0,0,0.41402770709932596,Verdadero negativo
42.0,65.0,2921.0,3,0,133.12,0,0,125.08,2.28,0.0,0.0,124.08666666666652,0.0,0.0,8.040000000000001,8.040000000000006,3.536,0.7227,0,0,1,0.5936326760857202,Falso positivo
22.0,32.55123711340206,5786.0,1,0,100.47,0,0,95.84,6.68,0.0,0.0,92.4100000000001,0.0,0.0,4.630000000000001,4.6299999999999955,0.693,0.4353,0,0,0,0.274157343422146,Verdadero negativo
32.0,38.0,2354.0,1,0,28.02,0,0,24.71,2.33,0.0,0.0,25.02666666666657,0.0,0.0,3.3099999999999996,3.3099999999999987,1.418,0.5129,0,0,1,0.5400653612453299,Falso positivo
19.0,46.0,3990.0,2,1,138.3,0,0,146.33,0.0,0.0,0.0,140.77666666666667,0.0,0.0,0.59,-8.030000000000001,0.594,0.3267,0,0,0,0.21692144094648366,Verdadero negativo
24.0,60.0,3907.0,3,0,222.63,0,0,224.93,2.3,0.0,0.0,226.4733333333335,0.0,0.0,-2.3,-2.3000000000000114,-1.0,0.3427,0,0,0,0.23944309477408565,Verdadero negativo
40.0,73.0,2943.0,1,0,88.05,0,0,84.09,0.0,0.0,0.0,84.09,0.0,0.0,3.96,3.9599999999999937,3.961,0.4936,0,0,0,0.47922626158804993,Verdadero negativo
27.0,19.0,9003.0,3,0,213.17,29,1,205.33,1.71,0.0,0.0,206.11333333333343,0.0,0.0,7.840000000000001,7.839999999999975,4.581,0.3427,0,0,0,0.35579925759122916,Verdadero negativo
43.0,45.0,3584.0,3,0,111.77,0,0,107.38,0.37,0.0,0.0,114.78666666666665,0.0,0.0,4.39,4.390000000000001,4.391,0.239,0,0,0,0.299555619997413,Verdadero negativo
36.0,71.0,3476.786701030928,1,0,69.86,0,0,64.22,0.0,0.0,0.0,64.22,0.0,0.0,5.64,5.640000000000001,5.642,0.3944,0,0,0,0.3699787294009515,Verdadero negativo
32.0,21.0,3381.0,1,0,24.78,0,0,22.32,2.79,0.0,0.0,22.013333333333403,0.0,0.0,2.46,2.460000000000001,0.884,0.3954,0,0,0,0.44420620017165807,Verdadero negativo
28.0,20.0,1952.0,2,0,82.95,0,0,81.47,0.0,0.0,0.0,81.47,16.333333333333332,1.0,1.48,1.480000000000004,1.478,0.71,0,0,1,0.5805555352134576,Falso positivo
53.0,71.0,2297.0,4,0,158.85,0,0,153.06,0.0,0.0,0.0,154.13000000000022,11.333333333333334,1.0,5.79,5.789999999999992,5.786,0.4936,0,0,0,0.4295499846195197,Verdadero negativo
64.0,6.0,2845.0,1,0,24.39,0,0,31.77,7.38,0.0,0.0,29.43333333333318,0.0,0.0,-7.38,-7.379999999999999,-0.277,0.5166,0,0,1,0.5241173770657399,Falso positivo
38.0,90.0,8051.0,2,1,134.44,0,0,129.66,0.2,0.0,0.0,134.34333333333322,0.0,0.0,4.3999999999999995,4.780000000000001,4.4,0.3426,0,0,0,0.2281751726236766,Verdadero negativo
39.34175257731959,25.0,2875.0,3,0,132.64,0,0,131.49,0.0,0.0,0.0,131.49,0.0,0.0,1.15,1.1499999999999773,1.154,0.2151,0,1,0,0.39683773814834916,Falso negativo
29.0,36.0,3842.0,4,1,57.48,0,0,59.83,3.53,20.0,1.0,54.37333333333325,6.666666666666667,1.0,-1.1099999999999999,-2.3500000000000014,-0.314,0.3307,0,0,0,0.2971574680274561,Verdadero negativo
27.0,18.0,3856.0,2,1,108.42,0,0,109.32,1.08,0.0,0.0,111.58,9.0,1.0,-0.10000000000000009,-0.8999999999999915,-0.093,0.3426,0,0,0,0.38402321856438865,Verdadero negativo
58.0,19.0,3476.786701030928,3,0,64.11,0,0,63.55,0.0,0.0,0.0,63.55,0.0,0.0,0.56,0.5600000000000023,0.564,0.7154,0,0,1,0.5907225966929038,Falso positivo
43.0,24.0,2797.0,3,1,224.1,0,0,239.14,0.0,0.0,0.0,236.78999999999985,0.0,0.0,3.88,-15.039999999999992,3.879,0.3294,0,0,0,0.44196656613132473,Verdadero negativo
34.0,49.0,2503.0,2,0,125.67,0,0,125.67,0.0,0.0,0.0,125.67,0.0,0.0,0.0,0.0,0.0,0.4914,0,1,0,0.4063875161932321,Falso negativo
36.0,43.0,3973.0,4,0,166.12,0,0,166.12,0.0,0.0,0.0,166.12,0.0,0.0,0.0,0.0,0.0,0.3954,0,0,0,0.30221685134796605,Verdadero negativo
52.0,26.0,4545.0,3,0,53.35,0,0,56.05,3.7,0.0,0.0,53.58333333333315,0.0,0.0,-2.7,-2.6999999999999957,-0.729,0.4164,0,0,0,0.3440941467512549,Verdadero negativo
39.0,28.0,2825.0,3,0,254.02,0,0,251.75,0.39,0.0,0.0,251.4900000000002,0.0,0.0,2.27,2.2700000000000102,2.273,0.3294,0,0,0,0.4514259789069782,Verdadero negativo
42.0,32.0,3228.0,3,0,211.38,0,0,211.38,0.0,0.0,0.0,211.38,8.666666666666666,1.0,0.0,0.0,0.0,0.3267,0,0,0,0.3885184601936803,Verdadero negativo
35.0,52.0,5295.0,2,0,57.15,0,0,48.5,0.81,0.0,0.0,51.43000000000015,5.666666666666667,1.0,8.65,8.649999999999999,8.644,0.3426,0,0,0,0.2688923516679359,Verdadero negativo
41.0,28.0,3646.0,2,0,45.35,0,0,45.95,0.6,0.0,0.0,47.210000000000115,0.0,0.0,-0.6,-0.6000000000000014,-0.595,0.4936,0,0,1,0.5038495355997948,Falso positivo
52.0,21.0,1771.0,1,1,73.99000000000001,0,0,76.2,0.0,0.0,0.0,70.33000000000017,14.333333333333334,1.0,0.0,-2.2099999999999937,0.0,0.7227,0,0,1,0.6032994155572287,Falso positivo
51.0,48.0,2259.0,1,0,41.88,0,0,36.6,0.0,0.0,0.0,36.6,0.0,0.0,5.28,5.280000000000001,5.284,0.4936,0,0,1,0.5502348965184746,Falso positivo
41.0,29.0,3476.786701030928,3,1,207.37,0,0,174.35000000000002,0.0,0.0,0.0,182.25000000000014,8.0,1.0,0.0,33.01999999999998,0.0,0.5006,0,0,0,0.42399418741012335,Verdadero negativo
35.0,36.0,4089.0,2,0,159.21,0,0,157.3,0.0,0.0,0.0,157.3,0.0,0.0,1.91,1.9099999999999966,1.91,0.3294,0,0,0,0.30201687136867006,Verdadero negativo
18.0,36.0,3350.0,2,1,66.69,0,0,67.8,0.0,0.0,0.0,66.01999999999992,0.0,0.0,5.41,-1.1099999999999994,5.406,0.215,0,0,0,0.31886298636198895,Verdadero negativo
26.0,34.0,5621.0,3,0,220.65,0,0,220.02,14.84,0.0,0.0,220.0000000000001,0.0,0.0,0.6300000000000008,0.6299999999999955,0.043,0.2317,0,0,0,0.2688314567253973,Verdadero negativo
34.0,30.0,2921.0,3,0,237.6,0,0,233.7,0.0,0.0,0.0,233.7,0.0,0.0,3.9,3.9000000000000057,3.897,0.2007,0,0,0,0.42050341007484127,Verdadero negativo
32.0,41.0,3910.0,3,0,222.15,0,0,222.15,0.0,0.0,0.0,224.0466666666667,0.0,0.0,0.0,0.0,0.0,0.3294,0,0,0,0.33015911869865827,Verdadero negativo
39.0,62.0,1969.0,2,0,122.93,0,0,122.31,0.0,0.0,0.0,122.31,0.0,0.0,0.62,0.6200000000000045,0.616,0.3427,0,1,0,0.30141572800044225,Falso negativo
50.0,25.0,2074.0,1,1,55.85,0,0,51.63,0.0,0.0,0.0,51.66666666666663,0.0,0.0,0.0,4.219999999999999,0.0,0.407,0,0,1,0.5342704986838576,Falso positivo
49.0,16.0,3171.0,3,1,167.69,0,0,180.67,0.01,0.0,0.0,187.20333333333346,0.0,0.0,-0.01,-12.97999999999999,-0.014,0.2317,0,0,0,0.3904397950630043,Verdadero negativo
39.0,35.0,4078.0,3,0,191.17,0,0,191.17,0.0,0.0,0.0,191.17,0.0,0.0,0.0,0.0,0.0,0.2317,0,0,0,0.3549036130981999,Verdadero negativo
39.34175257731959,9.0,3765.0,1,0,72.2,0,0,72.2,0.0,0.0,0.0,72.2,0.0,0.0,0.0,0.0,0.0,0.4936,0,0,1,0.5092302014438114,Falso positivo
45.0,65.0,2573.0,2,0,39.02,0,0,39.02,0.0,0.0,0.0,39.056666666666665,10.333333333333334,1.0,0.0,0.0,0.0,0.503,0,0,0,0.47812503948845075,Verdadero negativo
50.0,10.0,5841.0,3,1,234.65999999999997,0,0,208.86,0.0,0.0,0.0,221.09000000000015,0.0,0.0,0.0,25.799999999999955,0.0,0.3294,0,0,0,0.29352909358228946,Verdadero negativo
39.0,43.0,2109.0,1,0,52.49,0,0,49.1,0.0,0.0,0.0,49.1,0.0,0.0,3.39,3.3900000000000006,3.394,0.407,0,0,1,0.5093046249275595,Falso positivo
51.0,31.0,5798.0,2,0,146.05,0,0,138.65,0.0,0.0,0.0,146.09666666666672,0.0,0.0,7.4,7.400000000000006,7.399,0.2007,0,0,0,0.24453692349205092,Verdadero negativo
32.0,18.0,2107.0,2,0,48.11,8,1,48.18,0.07,0.0,0.0,48.28000000000012,0.0,0.0,-0.07,-0.07000000000000028,-0.072,0.5166,0,0,1,0.5900701404990167,Falso positivo
63.0,15.0,2304.0,2,1,38.870000000000005,0,0,38.900000000000006,0.06,0.0,0.0,39.52333333333353,0.0,0.0,2.16,-0.030000000000001137,2.169,0.5129,0,0,1,0.6152742012978828,Falso positivo
35.0,32.55123711340206,3604.0,3,1,191.47000000000003,16,1,173.0,1.41,0.0,0.0,181.23000000000002,0.0,0.0,-1.41,18.470000000000027,-1.0,0.2007,0,0,0,0.49949316472839916,Verdadero negativo
42.0,15.0,1931.0,3,0,67.25,0,0,66.06,0.0,22.0,1.0,66.06,16.333333333333332,2.0,1.19,1.1899999999999977,1.187,0.2007,0,0,1,0.5660248702024911,Falso positivo
43.0,8.0,3145.0,1,0,29.33,0,0,24.01,0.0,0.0,0.0,26.26666666666665,0.0,0.0,5.32,5.319999999999997,5.323,0.4914,0,0,1,0.53933367279231,Falso positivo
47.0,33.0,1731.0,3,0,189.96,0,0,184.88,0.0,0.0,0.0,185.26666666666665,0.0,0.0,5.08,5.0800000000000125,5.078,0.6204,0,0,1,0.5442800780419222,Falso positivo
35.0,19.0,4137.0,2,0,92.56,0,0,87.30000000000001,5.87,0.0,0.0,83.38666666666667,0.0,0.0,5.260000000000001,5.259999999999991,0.896,0.3294,0,0,0,0.29713994647911707,Verdadero negativo
54.0,5.0,2093.0,3,0,78.62,0,0,69.0,0.0,0.0,0.0,71.48333333333312,0.0,0.0,9.62,9.620000000000005,9.622,0.215,0,0,1,0.5025112402394956,Falso positivo
46.0,24.0,3396.0,4,0,343.23,0,0,341.0,0.0,0.0,0.0,341.0,0.0,0.0,2.23,2.230000000000018,2.226,0.407,0,0,0,0.47987016654435216,Verdadero negativo
21.0,61.0,3061.0,2,1,116.59,0,0,113.88,0.17,0.0,0.0,113.92333333333313,3.0,1.0,-0.17,2.710000000000008,-0.17,0.2007,0,0,0,0.2376994894398625,Verdadero negativo
37.0,31.0,4144.0,3,0,225.1,21,1,225.1,0.0,0.0,0.0,225.2133333333335,0.0,0.0,0.0,0.0,0.0,0.2359,0,0,0,0.32789423088156994,Verdadero negativo
42.0,49.0,1916.0,2,0,47.94,0,0,48.29,0.35,0.0,0.0,50.98333333333333,0.0,0.0,-0.35,-0.3500000000000014,-0.349,0.6591,0,0,1,0.5624241593975665,Falso positivo
39.0,27.0,3683.0,2,0,33.129999999999995,0,0,33.01,0.0,0.0,0.0,34.27666666666677,0.0,0.0,0.12,0.11999999999999744,0.121,0.5166,0,0,1,0.5023386470787237,Falso positivo
18.0,53.0,2879.0,2,0,141.54,0,0,141.54,0.0,0.0,0.0,142.55333333333343,3.0,1.0,0.0,0.0,0.0,0.3307,0,0,0,0.288137901309267,Verdadero negativo
39.0,52.0,6773.0,2,0,139.25,0,0,139.25,0.0,0.0,0.0,139.25,11.0,1.0,0.0,0.0,0.0,0.3504,0,0,0,0.2021313366822718,Verdadero negativo
29.0,48.0,2697.0,2,0,173.97,0,0,173.97,0.0,0.0,0.0,178.82000000000014,0.0,0.0,0.0,0.0,0.0,0.3267,0,0,0,0.3050972637156692,Verdadero negativo
42.0,27.0,3716.0,1,0,27.96,0,0,20.71,0.0,0.0,0.0,20.71,0.0,0.0,7.25,7.25,7.253,0.5166,0,0,1,0.5095915789753647,Falso positivo
46.0,21.0,3903.0,4,0,359.67,22,1,363.68,4.01,0.0,0.0,361.30666666666656,0.0,0.0,-4.01,-4.009999999999991,-1.0,0.4353,0,0,0,0.4322598210009,Verdadero negativo
50.0,11.0,3323.0,1,1,39.029999999999994,0,0,39.29,0.0,0.0,0.0,39.216666666666534,0.0,0.0,0.33,-0.2600000000000051,0.327,0.7087,0,0,1,0.63016008606176,Falso positivo
55.0,11.0,2747.0,1,1,51.30000000000001,0,0,58.73,0.0,18.0,1.0,55.26333333333349,10.333333333333334,2.0,1.09,-7.4299999999999855,1.093,0.3871,0,0,0,0.4322779621962777,Verdadero negativo
25.0,34.0,2707.0,1,0,21.37,0,0,21.37,0.0,0.0,0.0,21.37,0.0,0.0,0.0,0.0,0.0,0.4807,0,0,0,0.497485840240792,Verdadero negativo
45.0,51.0,3094.0,2,0,138.63,0,0,147.44,8.81,0.0,0.0,141.56666666666663,0.0,0.0,-8.81,-8.810000000000002,-1.0,0.7154,0,0,0,0.35685773853564684,Verdadero negativo
52.0,10.0,3626.0,2,0,83.03,0,0,78.23,0.0,0.0,0.0,78.23333333333333,0.0,0.0,4.8,4.799999999999997,4.797,0.5129,0,0,0,0.4975792991152368,Verdadero negativo
41.0,40.0,2011.0,5,0,447.81,0,0,447.81,0.0,27.0,1.0,448.3066666666668,9.0,1.0,0.0,0.0,0.0,0.2151,0,1,0,0.39229487485315595,Falso negativo
30.0,34.0,2735.0,1,0,19.68,17,1,19.68,0.0,0.0,0.0,20.0233333333334,0.0,0.0,0.0,0.0,0.0,0.4354,0,0,1,0.5751347657470095,Falso positivo
37.0,19.0,3774.0,3,0,206.04,0,0,207.86,13.6,0.0,0.0,200.70666666666662,0.0,0.0,-1.8200000000000003,-1.8200000000000216,-0.134,0.3427,0,0,0,0.3786299098952313,Verdadero negativo
52.0,24.0,5444.0,4,0,346.5,0,0,346.5,0.0,0.0,0.0,346.5,0.0,0.0,0.0,0.0,-1.0,0.4914,0,0,0,0.380800846358443,Verdadero negativo
35.0,40.0,1617.0,2,0,133.76,0,0,128.67000000000002,4.61,0.0,0.0,128.18666666666653,0.0,0.0,5.089999999999999,5.089999999999975,1.104,0.4061,0,0,1,0.5092002140343476,Falso positivo
19.0,21.0,3476.786701030928,2,0,93.76,0,0,95.38,3.12,0.0,0.0,93.30000000000005,0.0,0.0,-1.62,-1.6199999999999903,-0.521,0.5006,0,0,0,0.394351954425553,Verdadero negativo
63.0,24.0,3887.0,5,0,319.19,20,1,314.63,0.0,0.0,0.0,315.55333333333317,0.0,0.0,4.56,4.560000000000002,4.558,0.2317,0,0,0,0.36964479928289884,Verdadero negativo
36.0,17.0,2509.0,2,0,38.93,0,0,38.93,0.0,12.0,1.0,38.93,4.0,1.0,0.0,0.0,0.0,0.4027,0,0,1,0.5815637685067001,Falso positivo
56.0,31.0,2597.0,4,1,136.20000000000002,0,0,144.58,4.08,17.0,1.0,141.93666666666664,5.666666666666667,1.0,-4.08,-8.379999999999995,-1.0,0.2359,0,0,0,0.31134282832648386,Verdadero negativo
37.0,75.0,5034.0,3,0,197.13,0,0,197.13,0.0,0.0,0.0,197.13,0.0,0.0,0.0,0.0,0.0,0.5129,0,0,0,0.3142557967987619,Verdadero negativo
55.0,38.0,3049.0,1,0,41.03,0,0,43.27,3.14,0.0,0.0,41.17666666666686,7.333333333333333,1.0,-2.24,-2.240000000000002,-0.713,0.4354,0,0,1,0.5149482761808581,Falso positivo
28.0,28.0,3127.0,3,0,264.46000000000004,0,0,263.86,0.0,0.0,0.0,263.86,0.0,0.0,0.6,0.6000000000000227,0.601,0.239,0,0,0,0.40235722105227834,Verdadero negativo
29.0,7.0,2669.0,3,0,193.42,0,0,192.17,1.46,0.0,0.0,191.25999999999988,8.333333333333334,1.0,1.25,1.25,0.864,0.6204,0,0,1,0.6029539001791393,Falso positivo
45.0,43.0,5173.0,4,0,331.76,0,0,325.59,0.0,0.0,0.0,325.59,0.0,0.0,6.17,6.170000000000016,6.173,0.4914,0,0,0,0.294790375599415,Verdadero negativo
62.0,7.0,1563.0,3,1,52.45,0,0,46.75,0.0,47.0,1.0,47.439999999999856,15.666666666666666,1.0,6.31,5.700000000000003,6.31,0.6479,0,0,1,0.5007919895297509,Falso positivo
23.0,58.0,2587.0,2,1,87.79,29,1,70.81,3.55,0.0,0.0,78.25333333333317,7.0,1.0,12.759999999999998,16.980000000000004,3.591,0.3427,0,0,0,0.2888463017698934,Verdadero negativo
45.0,46.0,1450.0,1,0,18.56,0,0,18.56,0.0,0.0,0.0,18.56,0.0,0.0,0.0,0.0,0.0,0.71,0,0,0,0.488866987717093,Verdadero negativo
41.0,16.0,2114.0,2,0,39.809999999999995,0,0,38.559999999999995,2.58,0.0,0.0,36.840000000000096,11.0,1.0,1.25,1.25,0.486,0.3787,0,0,0,0.41629648627561894,Verdadero negativo
40.0,11.0,2930.0,1,0,39.74,0,0,39.74,0.0,0.0,0.0,40.05000000000016,0.0,0.0,0.0,0.0,0.0,0.7227,0,1,1,0.6426207103372599,Verdadero positivo
54.0,43.0,3106.0,2,0,49.49,0,0,49.49,0.0,0.0,0.0,49.49,0.0,0.0,0.0,0.0,0.0,0.5006,0,1,1,0.5120147360813507,Verdadero positivo
43.0,18.0,5716.0,2,1,149.48,28,1,132.63,0.0,32.0,1.0,137.32000000000016,10.666666666666666,1.0,7.39,16.849999999999994,7.392,0.3426,0,0,0,0.3766278627581602,Verdadero negativo
18.0,19.0,4209.0,1,0,87.8,0,0,90.11,3.76,30.0,1.0,87.6033333333333,10.0,1.0,-2.3099999999999996,-2.3100000000000023,-0.615,0.4936,0,0,0,0.3602531164585448,Verdadero negativo
30.0,15.0,3083.0,2,0,174.01000000000002,0,0,174.22,3.01,0.0,0.0,179.64333333333323,0.0,0.0,-0.20999999999999996,-0.20999999999997954,-0.069,0.3413,0,0,0,0.4745381977802649,Verdadero negativo
26.0,54.0,8392.0,5,1,279.13,0,0,323.59000000000003,0.0,0.0,0.0,304.8666666666668,0.0,0.0,0.0,-44.460000000000036,0.0,0.2007,0,0,0,0.30056754338794106,Verdadero negativo
23.0,53.0,6116.0,1,0,87.89999999999999,21,1,83.39,2.43,0.0,0.0,81.76999999999992,11.0,1.0,4.51,4.509999999999991,1.85,0.71,0,0,0,0.30993638272271945,Verdadero negativo
36.0,10.0,3135.0,1,0,17.54,0,0,15.15,0.0,0.0,0.0,15.15,11.333333333333334,1.0,2.39,2.389999999999999,2.393,0.4354,0,0,0,0.415499184696728,Verdadero negativo
45.0,40.0,2726.0,4,0,342.88,0,0,346.82,4.87,0.0,0.0,343.80666666666684,6.666666666666667,1.0,-3.94,-3.9399999999999977,-0.81,0.4164,0,0,0,0.41581135714207434,Verdadero negativo
50.0,14.0,2681.0,1,0,36.09,0,0,36.09,0.0,0.0,0.0,36.09,0.0,0.0,0.0,0.0,0.0,0.6764,0,0,1,0.6267271099281476,Falso positivo
